r_um,h_waves_633nm,thickness_um
0.000000000000000000e+00,3.247319397475769698e-01,4.111106357204324380e-01
4.004004004004003470e+00,4.495668316118017760e-01,5.691516088205410551e-01
8.008008008008006939e+00,7.627623174911832837e-01,9.656570939438380297e-01
1.201201201201200952e+01,1.109997647579582747e+00,1.405257021835751630e+00
1.601601601601601388e+01,1.320099871366765321e+00,1.671246437150325059e+00
2.002002002002002001e+01,1.293656955438821532e+00,1.637769705585548019e+00
2.402402402402401904e+01,1.057757093704656537e+00,1.339120480630095367e+00
2.802802802802802518e+01,7.516790716931641692e-01,9.516257047635459099e-01
3.203203203203202776e+01,5.460421353554345547e-01,6.912893433599801574e-01
3.603603603603603034e+01,5.432667178267496233e-01,6.877756647686650293e-01
4.004004004004004003e+01,7.254873260888878850e-01,9.184669548285321339e-01
4.404404404404404261e+01,9.853776271790704033e-01,1.247488076008703040e+00
4.804804804804803808e+01,1.212765471754222890e+00,1.535361087240846079e+00
5.205205205205204777e+01,1.365493329159999547e+00,1.728714554716559437e+00
5.605605605605605035e+01,1.468492812295043359e+00,1.859111900365524983e+00
6.006006006006006004e+01,1.551654284390598937e+00,1.964394324038498452e+00
6.406406406406405551e+01,1.595610441435522109e+00,2.020042818857371358e+00
6.806806806806807231e+01,1.546794474740871728e+00,1.958241805021943671e+00
7.207207207207206068e+01,1.390730179785455656e+00,1.760664407608386828e+00
7.607607607607606326e+01,1.203843362066840950e+00,1.524065696376620815e+00
8.008008008008008005e+01,1.113049868649260921e+00,1.409121133709964280e+00
8.408408408408406842e+01,1.181768604927160071e+00,1.496119053837784652e+00
8.808808808808808521e+01,1.328307188601915323e+00,1.681636900770024923e+00
9.209209209209208780e+01,1.373239736748364637e+00,1.738521506723429644e+00
9.609609609609607617e+01,1.197767788893779439e+00,1.516374020739524653e+00
1.001001001001000930e+02,8.758907139490488269e-01,1.108877643859495832e+00
1.041041041041040955e+02,6.425797510579940308e-01,8.135059648394205034e-01
1.081081081081081123e+02,6.993971046854384754e-01,8.854367345317651905e-01
1.121121121121121007e+02,1.019986565161657754e+00,1.291302991494658770e+00
1.161161161161161033e+02,1.342738113478738615e+00,1.699906451664083162e+00
1.201201201201201201e+02,1.383018652740646282e+00,1.750901614369658299e+00
1.241241241241241227e+02,1.091550810507553759e+00,1.381903326102563057e+00
1.281281281281281110e+02,7.227445115130031184e-01,9.149945515754619452e-01
1.321321321321321136e+02,6.320793200428154179e-01,8.002124191742042703e-01
1.361361361361361446e+02,9.663724199064580578e-01,1.223427483601575938e+00
1.401401401401401188e+02,1.520139481566040285e+00,1.924496583662607119e+00
1.441441441441441214e+02,1.893929296929924844e+00,2.397714489913284730e+00
1.481481481481481524e+02,1.822446383161586470e+00,2.307217121082568489e+00
1.521521521521521265e+02,1.385742313131238523e+00,1.754349768424148026e+00
1.561561561561561291e+02,9.214192227732631579e-01,1.166516736030951185e+00
1.601601601601601601e+02,7.258049879649867142e-01,9.188691147636732781e-01
1.641641641641641627e+02,8.180879275747366952e-01,1.035699316309616647e+00
1.681681681681681368e+02,9.724359122896775176e-01,1.231103864958731808e+00
1.721721721721721678e+02,9.680921733842156041e-01,1.225604691504416976e+00
1.761761761761761704e+02,8.086995821447424682e-01,1.023813670995243896e+00
1.801801801801801446e+02,7.040526106553074426e-01,8.913306050896192545e-01
1.841841841841841756e+02,8.428032061963024457e-01,1.066988859044518900e+00
1.881881881881881782e+02,1.184371482412162946e+00,1.499414296733798446e+00
1.921921921921921523e+02,1.474167209118501631e+00,1.866295686744023241e+00
1.961961961961961833e+02,1.468522507321029069e+00,1.859149494268423020e+00
2.002002002002001859e+02,1.157233552913279784e+00,1.465057677988212292e+00
2.042042042042042169e+02,7.786241933698917483e-01,9.857382288062829234e-01
2.082082082082081911e+02,6.190700163245486110e-01,7.837426406668785983e-01
2.122122122122121937e+02,7.831521645531174247e-01,9.914706403242466992e-01
2.162162162162162247e+02,1.133367358153674731e+00,1.434843075422552294e+00
2.202202202202201988e+02,1.431698342960007642e+00,1.812530102187369874e+00
2.242242242242242014e+02,1.536879241165817866e+00,1.945689119315925364e+00
2.282282282282282324e+02,1.483692627690824661e+00,1.878354866656583910e+00
2.322322322322322066e+02,1.400957157470890779e+00,1.773611761358147909e+00
2.362362362362362092e+02,1.373771452252844361e+00,1.739194658552100980e+00
2.402402402402402402e+02,1.384461278307318022e+00,1.752727978337064618e+00
2.442442442442442143e+02,1.367447616315276449e+00,1.731188682255139888e+00
2.482482482482482453e+02,1.299013067461769699e+00,1.644550543406600562e+00
2.522522522522522479e+02,1.224203051313734081e+00,1.549841062963187577e+00
2.562562562562562221e+02,1.202543036425011591e+00,1.522419484114064581e+00
2.602602602602602246e+02,1.239575491210226588e+00,1.569302571872146945e+00
2.642642642642642272e+02,1.278145927321257425e+00,1.618132743988712097e+00
2.682682682682682866e+02,1.256168791849698207e+00,1.590309690481717997e+00
2.722722722722722892e+02,1.171577835114979926e+00,1.483217539255564654e+00
2.762762762762762918e+02,1.092875560948496361e+00,1.383580460160796610e+00
2.802802802802802375e+02,1.107520852588389282e+00,1.402121399376901056e+00
2.842842842842842401e+02,1.252984689480842295e+00,1.586278616882746295e+00
2.882882882882882427e+02,1.483069703492038593e+00,1.877566244620920921e+00
2.922922922922923021e+02,1.690481389525910316e+00,2.140149439139802823e+00
2.962962962962963047e+02,1.769659328014068000e+00,2.240388709265810352e+00
3.003003003003003073e+02,1.684233480593335219e+00,2.132239586431162515e+00
3.043043043043042530e+02,1.501017102315351792e+00,1.900287651531235467e+00
3.083083083083082556e+02,1.363222173970493278e+00,1.725839272246644462e+00
3.123123123123122582e+02,1.404238793636783944e+00,1.777766312744168520e+00
3.163163163163163176e+02,1.647094830949569877e+00,2.085222055982155265e+00
3.203203203203203202e+02,1.964115303808698698e+00,2.486569974621812396e+00
3.243243243243243228e+02,2.146558138285277639e+00,2.717542603069161178e+00
3.283283283283283254e+02,2.052800597508881442e+00,2.598845556446244043e+00
3.323323323323322711e+02,1.725567316322253353e+00,2.184568222463972642e+00
3.363363363363362737e+02,1.372694158770188411e+00,1.737830805003058643e+00
3.403403403403403331e+02,1.209435447768825389e+00,1.531145276875332861e+00
3.443443443443443357e+02,1.283837919933180416e+00,1.625338806635406419e+00
3.483483483483483383e+02,1.435269138326086491e+00,1.817050729120825547e+00
3.523523523523523409e+02,1.430220295128321162e+00,1.810658893632454580e+00
3.563563563563563434e+02,1.164944438075241839e+00,1.474819658603256256e+00
3.603603603603602892e+02,7.616014439377564171e-01,9.641874280251996332e-01
3.643643643643643486e+02,4.755169621474022446e-01,6.020044740786112403e-01
3.683683683683683512e+02,4.956772811507389465e-01,6.275274379368355193e-01
3.723723723723723538e+02,8.085820791539156671e-01,1.023664912208857247e+00
3.763763763763763563e+02,1.229680666774309428e+00,1.556775724136275851e+00
3.803803803803803589e+02,1.554853402062210455e+00,1.968444407010758512e+00
3.843843843843843047e+02,1.690909447602253035e+00,2.140691360664452425e+00
3.883883883883883641e+02,1.667898429610328748e+00,2.111559411886676063e+00
3.923923923923923667e+02,1.559535973829012656e+00,1.974372542867530056e+00
3.963963963963963693e+02,1.413497681045619236e+00,1.789488064203754059e+00
4.004004004004003718e+02,1.254738174082896673e+00,1.588498528388947229e+00
4.044044044044043744e+02,1.128607825622686800e+00,1.428817507238321571e+00
4.084084084084084338e+02,1.106402181656382044e+00,1.400705161976979696e+00
4.124124124124123796e+02,1.228268014126838281e+00,1.554987305884577120e+00
4.164164164164163822e+02,1.442443005806963274e+00,1.826132845351615464e+00
4.204204204204203847e+02,1.617599115698013179e+00,2.047880480473684983e+00
4.244244244244243873e+02,1.633831955742996556e+00,2.068431255970633487e+00
4.284284284284283899e+02,1.474001945644885847e+00,1.866086463186425570e+00
4.324324324324324493e+02,1.231859077477448938e+00,1.559533592086450371e+00
4.364364364364363951e+02,1.033436509472459797e+00,1.308330620992134152e+00
4.404404404404403977e+02,9.494673099681500972e-01,1.202025614419677924e+00
4.444444444444444002e+02,9.755701615049090503e-01,1.235071824465215018e+00
4.484484484484484028e+02,1.079678438240743832e+00,1.366872902812781732e+00
4.524524524524524054e+02,1.248728394845233458e+00,1.580890147874065566e+00
4.564564564564564648e+02,1.479858813864197264e+00,1.873501258352073817e+00
4.604604604604604674e+02,1.735074581741499422e+00,2.196604420484737918e+00
4.644644644644644131e+02,1.926476377520508265e+00,2.438919093940963734e+00
4.684684684684684157e+02,1.966616112088568347e+00,2.489735997904127807e+00
4.724724724724724183e+02,1.841799660080424506e+00,2.331718369661817558e+00
4.764764764764764209e+02,1.632077245116100528e+00,2.066209792316983318e+00
4.804804804804804803e+02,1.450782408338945784e+00,1.836690528957105384e+00
4.844844844844844829e+02,1.357874202352499449e+00,1.719068740178264276e+00
